datetime,generation fossil brown coal/lignite,generation fossil gas,generation fossil hard coal,generation fossil oil,generation nuclear,generation other,total load actual,price actual,temp,pressure,humidity,wind_speed,wind_deg,rain_1h,rain_3h,snow_3h,clouds_all,year,month,day,hour,price day ahead,season
2015-01-01 0:00,329,4844,4821,162,7096,43,25385,65.41,267.325,971,63,1,309,0,0,0,0,2015,1,1,0,50.1,winter
2015-01-01 1:00,328,5196,4755,158,7096,43,24382,64.92,267.325,971,63,1,309,0,0,0,0,2015,1,1,1,48.1,winter
2015-01-01 2:00,323,4857,4581,157,7099,43,22734,64.48,266.186,971,64,1,273,0,0,0,0,2015,1,1,2,47.33,winter
2015-01-01 3:00,254,4314,4131,160,7098,43,21286,59.32,266.186,971,64,1,273,0,0,0,0,2015,1,1,3,42.27,winter
2015-01-01 4:00,187,4130,3840,156,7097,43,20264,56.04,266.186,971,64,1,273,0,0,0,0,2015,1,1,4,38.41,winter
2015-01-01 5:00,178,4038,3590,156,7098,43,19905,53.63,265.442,972,64,0,240,0,0,0,0,2015,1,1,5,35.72,winter
2015-01-01 6:00,172,4040,3368,158,7098,43,20010,51.73,265.442,972,64,0,240,0,0,0,0,2015,1,1,6,35.13,winter
2015-01-01 7:00,172,4030,3208,160,7099,43,20377,51.43,265.442,972,64,0,240,0,0,0,0,2015,1,1,7,36.22,winter
2015-01-01 8:00,177,4052,3335,161,7098,43,20094,48.98,268.276,974,66,1,329,0,0,0,0,2015,1,1,8,32.4,winter
2015-01-01 9:00,177,4137,3437,163,7097,43,20637,54.2,268.276,974,66,1,329,0,0,0,0,2015,1,1,9,36.6,winter
2015-01-01 10:00,173,4059,3516,167,7096,43,22250,58.94,268.276,974,66,1,329,0,0,0,0,2015,1,1,10,43.1,winter
2015-01-01 11:00,226,3931,3845,166,7097,42,23547,59.86,281.574,974,61,1,344,0,0,0,0,2015,1,1,11,45.14,winter
2015-01-01 12:00,303,3784,4220,167,7097,41,24133,60.12,281.574,974,61,1,344,0,0,0,0,2015,1,1,12,45.14,winter
2015-01-01 13:00,288,3754,4404,167,7099,40,24713,62.05,281.574,974,61,1,344,0,0,0,0,2015,1,1,13,47.35,winter
2015-01-01 14:00,260,3779,4256,166,7097,40,24672,62.06,282.5376563,1036,47,1,15,0,0,0,0,2015,1,1,14,47.35,winter
2015-01-01 15:00,183,3708,4038,160,7096,40,23528,59.76,283.3083125,1035,45,1,24,0,0,0,0,2015,1,1,15,43.61,winter
2015-01-01 16:00,256,3813,4191,163,7095,41,23118,61.18,277.958,1036,68,1,108,0,0,0,0,2015,1,1,16,44.91,winter
2015-01-01 17:00,322,3967,4707,165,7095,41,23606,64.74,280.769,1035,58,1,92,0,0,0,0,2015,1,1,17,48.1,winter
2015-01-01 18:00,282,4756,4756,164,7096,42,26447,74.26,277.459,1036,72,1,150,0,0,0,0,2015,1,1,18,58.02,winter
2015-01-01 19:00,303,4410,4918,147,7096,42,28020,74.24,274.9511875,999,55,1,156,0,0,0,0,2015,1,1,19,61.01,winter
2015-01-01 20:00,318,4324,5025,154,7096,43,29014,75.64,271.5075,1005,75,1,224,0,0,0,0,2015,1,1,20,62.69,winter
2015-01-01 21:00,325,4684,5043,154,7096,43,29571,73.92,268.866,974,63,1,239,0,0,0,0,2015,1,1,21,60.41,winter
2015-01-01 22:00,322,4870,4990,154,7098,43,29031,70.53,268.866,974,63,1,239,0,0,0,0,2015,1,1,22,58.15,winter
2015-01-01 23:00,320,4685,4942,160,7098,43,26798,64.13,267.129,975,64,1,254,0,0,0,0,2015,1,1,23,53.6,winter
2015-01-02 0:00,0,3189,1291,193,7106,45,27070,64.02,267.129,975,64,1,254,0,0,0,0,2015,1,2,0,10,winter
2015-01-02 1:00,0,2902,1190,192,7106,45,24935,58.46,267.129,975,64,1,254,0,0,0,0,2015,1,2,1,7,winter
2015-01-02 2:00,0,2772,1023,189,7107,44,23214,54.7,266.389,974,64,1,314,0,0,0,0,2015,1,2,2,5,winter
2015-01-02 3:00,0,2936,1016,188,7107,44,22540,54.91,266.389,974,64,1,314,0,0,0,0,2015,1,2,3,4,winter
2015-01-02 4:00,0,2893,1103,189,7106,44,22096,53.07,266.389,974,64,1,314,0,0,0,0,2015,1,2,4,4,winter
2015-01-02 5:00,0,2889,1120,190,7105,44,22066,54.23,265.902,975,62,1,13,0,0,0,0,2015,1,2,5,4.8,winter
2015-01-02 6:00,0,2898,1167,189,7105,44,22275,58.22,265.902,975,62,1,13,0,0,0,0,2015,1,2,6,5,winter
